"V1" "V2"
"GCN4" "YBR263W"
"GCN4" "YBR264C"
"GCN4" "YBR265W"
"GCN4" "YBR267W"
"GCN4" "YBR268W"
"GCN4" "YBR269C"
"GCN4" "YBR270C"
"GCN4" "YBR271W"
"GCN4" "YBR272C"
"GCN4" "YBR273C"
"GCN4" "YBR274W"
"GCN4" "YBR275C"
"GCN4" "YBR276C"
"GCN4" "YBR278W"
"GCN4" "YBR279W"
"GCN4" "YBR280C"
"GCN4" "YBR281C"
"GCN4" "YBR282W"
"GCN4" "YBR283C"
"GCN4" "YBR284W"
"GCN4" "YBR285W"
"GCN4" "YBR286W"
"GCN4" "YBR287W"
"GCN4" "YBR288C"
"GCN4" "YBR289W"
"GCN4" "YBR290W"
"GCN4" "YBR291C"
"GCN4" "YBR293W"
"GCN4" "YBR294W"
"GCN4" "YBR295W"
"GCN4" "YBR296C"
"GCN4" "YBR297W"
"GCN4" "YBR298C"
"GCN4" "YBR299W"
"GCN4" "YBR301W"
"GCN4" "YBR302C"
"GCN4" "YCL073C"
"GCN4" "YCL069W"
"GCN4" "YCL068C"
"GCN4" "YCL066W"
"GCN4" "YCL065W"
"GCN4" "YCL064C"
"GCN4" "YCL063W"
"GCN4" "YCL061C"
"GCN4" "YCL059C"
"GCN4" "YCL058C"
"GCN4" "YCL057W"
"GCN4" "YCL056C"
"GCN4" "YCL055W"
"GCN4" "YCL054W"
"GCN4" "YCL052C"
"GCN4" "YCL051W"
"GCN4" "YCL050C"
"GCN4" "YCL049C"
"GCN4" "YCL048W"
"GCN4" "YCL047C"
"GCN4" "YCL045C"
"GCN4" "YCL044C"
"GCN4" "YCL043C"
"GCN4" "YCL042W"
"GCN4" "YCL040W"
"GCN4" "YCL039W"
"GCN4" "YCL038C"
"GCN4" "YCL037C"
"GCN4" "YCL036W"
"GCN4" "YCL035C"
"GCN4" "YCL034W"
"GCN4" "YCL033C"
"GCN4" "YCL032W"
"GCN4" "YCL031C"
"GCN4" "YCL030C"
"GCN4" "YCL029C"
"GCN4" "YCL028W"
"GCN4" "YCL027W"
"GCN4" "YCL026C-A"
"GCN4" "YCL025C"
"GCN4" "YCL024W"
"GCN4" "YCL018W"
"GCN4" "YCL017C"
"GCN4" "YCL016C"
"GCN4" "YCL014W"
"GCN4" "YCL011C"
"GCN4" "YCL010C"
"GCN4" "YCL009C"
"GCN4" "YCL008C"
"GCN4" "YCL005W"
"GCN4" "YCL004W"
"GCN4" "YCL002C"
"GCN4" "YCL001W"
"GCN4" "YCR002C"
"GCN4" "YCR003W"
"GCN4" "YCR004C"
"GCN4" "YCR005C"
"GCN4" "YCR007C"
"GCN4" "YCR008W"
"GCN4" "YCR009C"
"GCN4" "YCR010C"
"GCN4" "YCR011C"
"GCN4" "YCR012W"
"GCN4" "YCR014C"
"GCN4" "YCR015C"
"GCN4" "YCR016W"
"GCN4" "YCR017C"
"GCN4" "YCR018C"
"GCN4" "YCR019W"
"GCN4" "YCR020C"
"GCN4" "YCR020C-A"
"GCN4" "YCR021C"
"GCN4" "YCR023C"
"GCN4" "YCR024C"
"GCN4" "YCR026C"
"GCN4" "YCR027C"
"GCN4" "YCR028C"
"GCN4" "YCR028C-A"
"GCN4" "YCR030C"
"GCN4" "YCR031C"
"GCN4" "YCR032W"
"GCN4" "YCR033W"
"GCN4" "YCR034W"
"GCN4" "YCR035C"
"GCN4" "YCR036W"
"GCN4" "YCR037C"
"GCN4" "YCR038C"
"GCN4" "YCR040W"
"GCN4" "YCR041W"
"GCN4" "YCR042C"
"GCN4" "YCR043C"
"GCN4" "YCR044C"
"GCN4" "YCR045C"
"GCN4" "YCR046C"
"GCN4" "YCR047C"
"GCN4" "YCR048W"
"GCN4" "YCR051W"
"GCN4" "YCR052W"
"GCN4" "YCR053W"
"GCN4" "YCR054C"
"GCN4" "YCR057C"
